Gene,log2FC,pvalue,FDR
LOC120101739,-2.09224937,9.79E-05,0.000167115
LOC120101750,3.536653061,1.18E-10,2.70E-10
LOC120101751,3.043965502,4.91E-18,1.45E-17
LOC120101752,8.425955506,1.39E-142,3.22E-141
LOC120101753,-4.43197083,3.47E-35,1.59E-34
LOC120101754,2.726756952,2.22E-12,5.44E-12
LOC120101755,-3.541038964,1.45E-27,5.51E-27
LOC120101756,4.771522214,1.09E-51,7.03E-51
LOC120101757,-0.652007762,9.95E-07,1.91E-06
LOC120101761,-1.621023909,9.49E-09,2.01E-08
LOC120101764,-0.589349762,8.48E-22,2.77E-21
LOC120101766,-1.79906111,0.032078989,0.044231208
LOC120101770,0.647502957,0.004357724,0.006554422
LOC120101776,2.659227338,3.73E-12,9.04E-12
LOC120101783,2.731697912,3.08E-09,6.65E-09
LOC120101786,5.613715342,3.27E-27,1.23E-26
LOC120101787,0.96712816,0.000109146,0.000185691
LOC120101789,-1.548367421,5.02E-07,9.80E-07
LOC120101790,-2.878822482,5.02E-44,2.80E-43
LOC120101791,-0.615608309,0.009859533,0.014323532
LOC120101794,5.807572595,6.32E-38,3.07E-37
LOC120101800,-1.821247695,2.77E-06,5.20E-06
LOC120101801,-2.016611027,1.42E-07,2.84E-07
LOC120101802,-2.903149925,2.14E-10,4.84E-10
LOC120101804,0.628008275,1.48E-06,2.82E-06
LOC120101815,9.550630102,1.44E-153,3.74E-152
LOC120101817,2.670545785,0.043206568,0.058621304
LOC120101819,-2.002829119,3.21E-32,1.37E-31
LOC120101820,0.300746689,0.011132462,0.016081189
LOC120101825,-2.41558243,8.42E-06,1.54E-05
LOC120101826,-2.481811477,6.79E-06,1.25E-05
LOC120101828,5.489783073,9.96E-66,8.35E-65
LOC120101833,-0.534093048,0.014717211,0.021045725
LOC120101834,-1.399366404,0.047573512,0.06422739
LOC120101835,-1.639178704,1.23E-13,3.16E-13
LOC120101836,-0.695303438,0.001965895,0.003045773
LOC120101837,-3.662535307,1.76E-16,4.96E-16
LOC120101840,-2.887632487,7.10E-11,1.64E-10
LOC120101841,-2.245878087,5.45E-05,9.47E-05
LOC120101848,-3.131121618,1.47E-09,3.21E-09
LOC120101849,-5.603180971,3.29E-69,2.92E-68
LOC120101859,2.681857968,0.000390799,0.000639387
LOC120101866,-1.561212746,0.044125545,0.059793428
LOC120101872,-1.57970067,0.001306994,0.002053759
LOC120101875,-3.201845142,1.16E-09,2.55E-09
LOC120101877,-3.81695766,2.16E-20,6.78E-20
LOC120101878,-5.386504765,5.56E-49,3.42E-48
LOC120101881,3.370757257,8.31E-11,1.91E-10
LOC120101883,-4.402036469,3.11E-25,1.11E-24
LOC120101889,1.120906358,1.18E-135,2.55E-134
LOC120101891,-2.408685682,4.98E-22,1.64E-21
LOC120101892,-2.250332274,5.48E-19,1.66E-18
LOC120101900,1.043164157,0.003781433,0.005720783
LOC120101902,1.583416667,0.000500098,0.000811213
LOC120101905,1.912774515,0.001479972,0.002316832
LOC120101907,1.632908447,2.41E-13,6.12E-13
LOC120101909,-2.505771322,1.45E-65,1.21E-64
LOC120101910,5.428346998,3.89E-51,2.49E-50
LOC120101911,0.88665357,0.017843221,0.025303127
LOC120101912,1.552116501,0.0001492,0.000251378
LOC120101914,2.14294064,1.11E-16,3.15E-16
LOC120101917,-1.194048381,5.07E-13,1.27E-12
LOC120101922,1.684837469,0.012305905,0.01771485
LOC120101925,-2.059406137,0.002157714,0.003331098
LOC120101928,3.102833149,9.42E-15,2.51E-14
LOC120101929,-5.084515225,3.39E-188,1.25E-186
LOC120101930,-2.091401195,1.23E-12,3.04E-12
LOC120101931,2.464063647,0.001127382,0.001781173
LOC120101946,-1.232840871,5.32E-07,1.04E-06
LOC120101956,-1.062364008,0.003022295,0.004609556
LOC120101957,5.112147133,1.31E-37,6.31E-37
LOC120101976,-2.334000022,3.05E-05,5.38E-05
LOC120101983,1.219111268,0.001008874,0.001600733
LOC120101987,1.486524534,0.001876472,0.00291272
LOC120101998,0.51183079,0.022628732,0.031724406
LOC120102002,-1.27406678,0.00011156,0.000189656
LOC120102005,1.813393582,0.029100225,0.040300583
LOC120102006,0.581754205,0.029089473,0.040287578
LOC120102007,0.688852089,8.34E-05,0.00014301
LOC120102021,1.390062145,6.93E-05,0.000119569
LOC120102039,-0.778791244,8.74E-06,1.59E-05
LOC120102051,-6.32057097,1.23E-72,1.15E-71
LOC120102057,-1.425964667,4.24E-08,8.72E-08
LOC120102082,1.378901184,4.99E-08,1.02E-07
LOC120102085,1.900750101,0.021318494,0.029975587
LOC120102087,0.923188257,8.16E-06,1.49E-05
LOC120102088,1.22966576,7.46E-06,1.37E-05
LOC120102090,1.116459623,2.80E-06,5.25E-06
LOC120102091,1.103240482,3.19E-14,8.35E-14
LOC120102093,1.04573182,8.23E-09,1.74E-08
LOC120102094,1.230460786,0.003433084,0.005215517
LOC120102101,0.590922344,0.008310979,0.012153831
LOC120102105,2.173058766,3.78E-38,1.84E-37
LOC120102108,2.200036835,0.036847785,0.050453803
LOC120102109,-1.959507816,1.38E-16,3.90E-16
LOC120102115,-1.473003775,1.68E-13,4.29E-13
LOC120102117,5.33237848,1.01E-14,2.68E-14
Trnaa-agc,-3.748666392,3.86E-38,1.88E-37
LOC120102158,2.991070046,2.46E-05,4.37E-05
LOC120102167,6.183699435,2.14E-34,9.58E-34
LOC120102169,3.944756085,2.60E-12,6.35E-12
LOC120102177,-2.306539067,3.82E-06,7.11E-06
LOC120102181,2.362083146,0.000890041,0.001418541
LOC120102187,-3.311960431,2.34E-15,6.35E-15
LOC120102190,-3.159554166,2.26E-15,6.14E-15
LOC120102191,-2.894974407,5.65E-27,2.11E-26
LOC120102194,-2.89750479,2.12E-13,5.39E-13
LOC120102195,-1.975845718,0.001213949,0.001912631
LOC120102197,-3.52626192,3.39E-15,9.18E-15
LOC120102198,-1.82484925,0.00107952,0.001708201
LOC120102200,-2.076117741,0.004574048,0.006866178
LOC120102202,8.435350117,2.72E-105,4.10E-104
LOC120102204,-2.838335401,2.98E-26,1.10E-25
LOC120102206,4.716747705,5.51E-23,1.86E-22
LOC120102207,1.191177854,0.042559505,0.057790444
LOC120102209,-5.808548748,1.48E-79,1.55E-78
LOC120102210,-4.599271618,3.29E-137,7.20E-136
LOC120102212,4.413730001,7.00E-14,1.81E-13
LOC120102213,-1.942580721,0.00076042,0.001218188
LOC120102220,3.991291971,3.38E-15,9.15E-15
LOC120102221,4.237953315,2.75E-18,8.20E-18
LOC120102222,-2.054584567,6.81E-15,1.82E-14
LOC120102224,-2.30674787,5.93E-07,1.15E-06
LOC120102229,1.77278431,5.48E-10,1.22E-09
LOC120102230,-1.575039216,3.58E-51,2.29E-50
LOC120102233,0.780862399,1.23E-08,2.59E-08
LOC120102238,-2.665728974,5.28E-27,1.97E-26
LOC120102239,-3.558548652,5.77E-25,2.05E-24
LOC120102240,-1.805215584,3.56E-10,8.00E-10
LOC120102242,-4.841974876,4.63E-62,3.64E-61
LOC120102248,-0.444812229,0.010484703,0.015180319
LOC120102251,-4.957008527,6.62E-57,4.72E-56
LOC120102252,-2.655112767,1.50E-24,5.24E-24
LOC120102256,1.623267819,0.001190486,0.001876964
LOC120102257,-2.333063796,4.16E-17,1.20E-16
LOC120102259,4.317838579,2.84E-23,9.65E-23
LOC120102262,-1.725338646,4.54E-11,1.06E-10
LOC120102263,-2.889819241,6.42E-12,1.54E-11
LOC120102264,-1.670581208,1.74E-11,4.12E-11
LOC120102265,-4.997879783,4.50E-37,2.14E-36
LOC120102270,1.240946213,0.006911909,0.010190975
LOC120102276,-2.811467233,7.56E-21,2.40E-20
LOC120102278,-0.758253444,0.016700922,0.023750424
LOC120102279,-0.692191021,0.010592282,0.015330076
LOC120102283,-1.002003949,0.01939298,0.027398372
LOC120102286,4.564244281,2.12E-203,8.92E-202
LOC120102287,-1.506568068,9.62E-05,0.000164376
LOC120102289,1.956242295,0.011981616,0.017265666
LOC120102291,3.504148524,3.31E-21,1.06E-20
LOC120102293,5.472017929,3.14E-14,8.21E-14
LOC120102294,7.152752587,8.96E-45,5.06E-44
LOC120102295,6.4609357,2.94E-63,2.37E-62
LOC120102296,5.481624395,1.70E-32,7.27E-32
LOC120102297,4.12719019,6.19E-10,1.38E-09
LOC120102299,6.583886192,4.20E-41,2.18E-40
LOC120102300,5.237785687,8.23E-17,2.34E-16
LOC120102302,8.277854625,3.05E-77,3.09E-76
LOC120102303,7.558975642,4.73E-109,7.48E-108
LOC120102304,3.660636479,1.78E-14,4.69E-14
LOC120102305,8.275430995,1.36E-91,1.69E-90
LOC120102306,6.835582424,1.23E-42,6.61E-42
LOC120102307,-0.998125629,4.29E-15,1.16E-14
LOC120102308,-0.948250724,0.000996747,0.001582386
LOC120102309,-1.521545446,0.003615496,0.005481236
LOC120102310,2.86497165,1.39E-10,3.18E-10
LOC120102311,-3.541094209,8.55E-92,1.06E-90
LOC120102312,0.977914428,3.23E-07,6.36E-07
LOC120102316,-1.378557588,0.013084391,0.018789797
LOC120102317,-3.643442428,2.52E-56,1.78E-55
LOC120102319,1.490971852,0.001306121,0.002052605
LOC120102320,-0.53235781,5.87E-08,1.20E-07
LOC120102321,-1.290091762,1.02E-06,1.96E-06
LOC120102323,-1.355518561,0.041534131,0.056457717
LOC120102325,-1.590104249,3.06E-08,6.34E-08
LOC120102327,-2.769619599,1.39E-44,7.83E-44
LOC120102329,3.682103812,4.90E-69,4.33E-68
LOC120102331,-1.256727568,6.57E-07,1.28E-06
LOC120102332,3.483697435,2.20E-60,1.68E-59
LOC120102333,-1.34948629,1.03E-24,3.63E-24
LOC120102336,-1.957747822,2.92E-24,1.02E-23
LOC120102340,1.027977355,0.002256052,0.00347602
LOC120102342,0.46341183,7.51E-05,0.000129268
LOC120102344,-2.009232593,4.90E-07,9.58E-07
LOC120102348,1.679002501,1.94E-13,4.94E-13
LOC120102350,-4.995372045,4.08E-35,1.86E-34
LOC120102352,6.350070928,7.30E-40,3.69E-39
LOC120102358,-1.700372764,0.000899438,0.001432747
LOC120102366,-3.192408596,6.12E-13,1.53E-12
LOC120102367,0.509289277,0.018495412,0.026182805
LOC120102368,3.46808546,7.44E-15,1.99E-14
LOC120102369,-1.23292951,0.000331827,0.000545527
LOC120102372,-0.879353631,0.000372307,0.000610009
LOC120102375,5.821192472,0,0
LOC120102376,-2.798480901,1.27E-10,2.90E-10
LOC120102377,-0.965455669,4.02E-17,1.16E-16
LOC120102378,2.03706129,4.97E-09,1.06E-08
LOC120102382,-2.085992686,5.39E-51,3.44E-50
LOC120102383,-0.632991034,5.58E-05,9.68E-05
LOC120102384,-2.417889374,1.33E-37,6.40E-37
LOC120102386,-1.68702133,5.06E-11,1.17E-10
LOC120102387,-1.861144638,1.45E-15,3.96E-15
LOC120102388,-2.803605732,2.95E-14,7.72E-14
LOC120102391,-1.561679113,0.047818738,0.064543734
LOC120102394,-1.761849089,5.16E-10,1.15E-09
LOC120102403,2.929324576,4.66E-17,1.34E-16
LOC120102404,9.060394323,5.71E-154,1.49E-152
LOC120102405,4.083186365,4.58E-29,1.80E-28
LOC120102407,-2.038073994,3.36E-28,1.30E-27
LOC120102408,3.078431937,2.15E-32,9.18E-32
LOC120102411,3.144335403,3.16E-10,7.12E-10
LOC120102413,5.085515787,2.79E-67,2.40E-66
LOC120102421,-0.568790096,0.038861626,0.0530541
LOC120102424,-2.24141004,1.79E-38,8.79E-38
LOC120102426,-2.447024501,4.61E-05,8.05E-05
LOC120102428,-1.549473567,8.56E-05,0.00014686
LOC120102429,3.280329627,3.11E-05,5.48E-05
LOC120102431,3.448918872,1.97E-23,6.73E-23
LOC120102432,-1.865544766,0.007994625,0.011714363
LOC120102448,-5.130391903,2.30E-29,9.14E-29
LOC120102450,-1.939005286,0.008865692,0.012929881
LOC120102456,-0.785187286,8.26E-08,1.68E-07
LOC120102470,-2.616103211,2.18E-12,5.33E-12
LOC120102472,-1.424920376,8.17E-09,1.73E-08
LOC120102475,-2.965079442,4.64E-16,1.29E-15
LOC120102480,5.366860728,6.96E-35,3.16E-34
LOC120102481,6.450488059,6.63E-64,5.40E-63
LOC120102482,1.264238748,0.000218162,0.000363305
LOC120102483,-1.953931942,4.62E-49,2.85E-48
LOC120102485,-2.101223017,3.38E-31,1.40E-30
LOC120102490,-2.811652287,3.22E-50,2.03E-49
LOC120102491,6.135102504,3.89E-73,3.68E-72
LOC120102495,-2.701261942,2.20E-12,5.39E-12
LOC120102498,-1.13454159,0.000477031,0.000775241
LOC120102507,2.013383271,9.39E-25,3.31E-24
LOC120102508,-4.502472664,9.15E-45,5.17E-44
LOC120102509,2.223124259,6.46E-11,1.49E-10
LOC120102522,6.200401993,1.74E-37,8.39E-37
LOC120102523,6.871978391,2.03E-30,8.27E-30
LOC120102524,4.236527236,7.29E-17,2.08E-16
LOC120102525,7.585347948,9.07E-82,9.77E-81
LOC120102526,4.521138865,1.59E-20,5.01E-20
LOC120102528,4.739418808,1.75E-19,5.39E-19
LOC120102529,6.738016317,3.19E-60,2.43E-59
LOC120102530,5.887578545,4.70E-44,2.62E-43
LOC120102531,5.325967857,3.96E-23,1.34E-22
LOC120102537,5.246876189,5.56E-15,1.49E-14
LOC120102538,5.514313485,3.96E-31,1.64E-30
LOC120102539,2.315341543,0.014540747,0.020804443
LOC120102540,2.888745208,0.000143081,0.000241329
LOC120102542,1.487576324,2.94E-17,8.48E-17
LOC120102548,1.375220806,0.008947981,0.013045391
LOC120102574,1.337456929,0.00010968,0.000186546
LOC120102584,-0.828961006,0.000109632,0.000186474
LOC120102588,-2.21662865,1.44E-05,2.60E-05
LOC120102603,-0.57015474,0.008840615,0.012896487
LOC120102625,2.442815622,6.96E-18,2.05E-17
LOC120102639,0.446146784,0.034259969,0.047091341
LOC120102652,2.19782426,0.014323876,0.020505059
LOC120102674,0.90758797,0.00077191,0.001235658
LOC120102742,1.625836572,9.89E-11,2.27E-10
LOC120102744,-0.69226297,0.002176657,0.003358791
LOC120102748,3.24130716,3.16E-14,8.26E-14
LOC120102752,-0.914835992,0.000513822,0.000832745
LOC120102757,-3.084436122,1.12E-13,2.88E-13
Trnav-aac,1.126429032,0.014439359,0.020664376
Trnav-aac,-1.383324188,0.012838874,0.018449762
LOC120102802,-5.528501673,4.41E-31,1.82E-30
LOC120102804,-1.679025234,1.74E-07,3.48E-07
LOC120102805,4.571000728,7.40E-31,3.04E-30
LOC120102808,-1.003632352,0.003040407,0.004635986
LOC120102810,-3.542982565,4.64E-17,1.33E-16
LOC120102814,-3.182762039,1.83E-13,4.65E-13
LOC120102815,1.675868102,2.44E-40,1.25E-39
LOC120102816,-1.629650956,9.93E-08,2.01E-07
LOC120102821,-1.592394444,9.54E-12,2.28E-11
LOC120102824,-3.927412329,2.04E-19,6.25E-19
LOC120102825,5.712133196,2.81E-49,1.74E-48
LOC120102826,2.130721107,3.05E-06,5.71E-06
LOC120102829,-0.794051874,2.49E-08,5.17E-08
LOC120102832,1.1804755,1.49E-27,5.65E-27
LOC120102834,-3.935224368,3.61E-27,1.36E-26
LOC120102835,-2.317459251,4.43E-16,1.23E-15
LOC120102838,-1.086279452,4.55E-13,1.14E-12
LOC120102840,-1.133270107,3.71E-09,7.98E-09
LOC120102842,-2.51886465,5.25E-13,1.31E-12
LOC120102844,1.18069745,3.49E-05,6.13E-05
LOC120102848,-4.576303787,4.06E-47,2.41E-46
LOC120102849,5.557275895,4.54E-59,3.38E-58
LOC120102852,2.012380458,2.37E-26,8.73E-26
LOC120102853,1.281292065,0.039592074,0.053976586
LOC120102855,-1.380622479,1.12E-18,3.37E-18
LOC120102857,-2.276944713,1.66E-05,2.98E-05
LOC120102858,2.89212783,1.81E-17,5.24E-17
Spaar,-3.302887553,1.30E-84,1.46E-83
LOC120102862,3.272938311,5.86E-07,1.14E-06
LOC120102865,3.430197209,3.05E-102,4.41E-101
LOC120102867,1.662205659,4.02E-10,9.00E-10
LOC120102868,4.025224712,1.93E-51,1.24E-50
LOC120102869,1.830496806,1.53E-14,4.05E-14
LOC120102870,-1.852856981,5.76E-05,9.99E-05
LOC120102871,-0.83131028,2.95E-06,5.54E-06
LOC120102879,-4.331028154,7.36E-35,3.34E-34
LOC120102894,1.506143709,2.31E-10,5.22E-10
LOC120102895,6.755098885,2.63E-81,2.81E-80
LOC120102904,-1.68072458,0.038791265,0.052965376
LOC120102906,-1.068973409,0.008675006,0.012664892
LOC120102907,-1.53284433,8.01E-11,1.84E-10
LOC120102909,-0.786061002,0.000975309,0.00154885
LOC120102910,-2.379604095,4.87E-19,1.48E-18
Tusc1,0.901357423,3.11E-42,1.66E-41
LOC120102920,6.491116252,1.04E-59,7.83E-59
LOC120102922,-0.945435834,1.52E-06,2.89E-06
LOC120102923,-2.098826322,1.96E-06,3.71E-06
LOC120102924,2.157428713,0.000345556,0.000567342
LOC120102925,2.980816071,3.63E-05,6.37E-05
LOC120102929,1.863238243,3.07E-13,7.76E-13
LOC120102931,-2.654638908,4.33E-08,8.89E-08
LOC120102933,-0.664985503,9.02E-06,1.65E-05
LOC120102934,-1.559725417,1.80E-53,1.20E-52
LOC120102941,-3.706385644,1.59E-37,7.64E-37
LOC120102944,-2.788824234,1.17E-08,2.46E-08
LOC120102945,-2.512521167,1.02E-19,3.15E-19
LOC120102946,3.077599417,2.85E-22,9.41E-22
LOC120102947,-2.002626708,2.07E-09,4.49E-09
LOC120102950,2.514782138,9.81E-68,8.48E-67
LOC120102952,3.244959116,1.04E-10,2.38E-10
LOC120102958,0.637223186,3.56E-19,1.09E-18
LOC120102959,2.594081243,2.60E-07,5.15E-07
LOC120102960,-2.332134892,6.50E-08,1.32E-07
LOC120102961,-3.775823349,1.30E-47,7.82E-47
LOC120102962,-2.925363517,1.41E-11,3.35E-11
LOC120102964,2.653448229,3.84E-36,1.79E-35
LOC120102970,2.576734342,1.04E-42,5.60E-42
LOC120102972,-0.64771589,4.27E-05,7.46E-05
LOC120102976,-2.249914042,6.26E-10,1.39E-09
LOC120102978,-0.821875179,1.28E-14,3.40E-14
LOC120102979,-0.760356644,5.91E-06,1.09E-05
LOC120102981,1.247649505,0.046904593,0.063359001
LOC120102984,-1.194488318,4.82E-05,8.40E-05
LOC120102987,-3.821665293,4.86E-48,2.94E-47
LOC120102988,9.654607857,1.45E-167,4.33E-166
LOC120102991,2.203628953,1.32E-13,3.37E-13
LOC120102992,-0.659961141,3.28E-19,1.00E-18
LOC120102993,0.676061947,4.83E-09,1.03E-08
LOC120102995,1.977461004,1.28E-06,2.44E-06
LOC120102996,-2.604948355,2.82E-19,8.61E-19
LOC120102997,-1.998192346,2.53E-20,7.94E-20
LOC120102998,0.87386597,0.014807884,0.021169249
LOC120102999,0.752800137,0.005831397,0.008660444
LOC120103000,-1.231967138,1.56E-17,4.54E-17
LOC120103004,5.265313113,1.64E-102,2.38E-101
LOC120103005,-0.635830934,0.01845872,0.026133364
LOC120103006,-2.594936176,3.10E-07,6.12E-07
LOC120103007,0.694039008,1.40E-06,2.67E-06
LOC120103008,0.841285682,0.020189004,0.028460473
LOC120103010,-2.585294357,5.45E-24,1.89E-23
LOC120103013,1.780998326,0.00141074,0.002212316
LOC120103015,-4.068435533,8.61E-56,6.03E-55
LOC120103018,0.531705082,0.011720048,0.016899444
LOC120103020,1.855780028,8.40E-06,1.54E-05
LOC120103024,-0.764474325,2.45E-24,8.53E-24
LOC120103025,1.276678206,7.55E-06,1.39E-05
LOC120103026,-1.059419904,0.005336528,0.007953019
LOC120103029,-1.767876674,1.96E-05,3.49E-05
LOC120103030,-2.539309908,2.44E-09,5.29E-09
LOC120103033,-2.887455561,3.67E-70,3.32E-69
LOC120103036,-2.609951689,7.94E-09,1.68E-08
LOC120103038,-1.342879992,1.98E-15,5.39E-15
LOC120103039,0.869085655,0.006708743,0.009902282
LOC120103041,-4.053105598,1.93E-30,7.84E-30
LOC120103042,-4.100203711,2.57E-31,1.07E-30
LOC120103044,2.08019987,3.04E-14,7.95E-14
LOC120103045,-2.806599016,1.18E-28,4.59E-28
LOC120103048,0.535186616,0.006924123,0.010207966
LOC120103050,1.189800303,0.039906676,0.054370412
LOC120103060,1.302671569,4.94E-10,1.10E-09
LOC120103061,3.055668744,6.94E-28,2.66E-27
LOC120103073,4.368843634,5.23E-17,1.50E-16
LOC120103100,1.067707018,0.016953027,0.02409736
LOC120103101,2.330820463,2.27E-22,7.53E-22
LOC120103108,-0.781081076,2.43E-06,4.57E-06
LOC120103110,-1.806996698,0.003157856,0.004808628
LOC120103113,-1.419308307,1.00E-07,2.02E-07
LOC120103114,-1.349291634,1.26E-19,3.90E-19
LOC120103123,0.709100753,0.019400172,0.027407225
LOC120103124,2.168767864,0.000958943,0.001523678
LOC120103130,3.292653958,2.32E-26,8.53E-26
LOC120103131,-1.511585506,0.012557886,0.018059133
LOC120103142,4.651186387,7.99E-20,2.48E-19
LOC120103147,4.475106699,2.86E-20,8.98E-20
LOC120103152,3.44211721,0.000559385,0.000904606
LOC120103167,-7.1924345,6.91E-64,5.62E-63
LOC120103176,-1.459093376,0.022188676,0.03114141
LOC120103178,-1.340249671,0.006436344,0.009515883
LOC120103195,1.07650324,6.70E-06,1.23E-05
LOC120103206,2.102313465,0.001731206,0.002696288
LOC120103234,-1.624248624,0.01672043,0.023774739
LOC120103239,1.686903225,7.30E-15,1.95E-14
LOC120103240,1.851741246,2.02E-23,6.89E-23
LOC120103254,-2.090346285,1.52E-35,6.99E-35
LOC120103255,0.794761606,0.000770908,0.001234254
LOC120103258,1.242868302,6.54E-05,0.000113017
LOC120103259,0.909471988,0.001527804,0.002389561
LOC120103261,-0.457424628,0.020040996,0.0282626
LOC120103262,2.150012679,2.69E-13,6.81E-13
LOC120103263,1.151157921,6.58E-05,0.000113728
LOC120103264,0.718001817,2.38E-08,4.94E-08
LOC120103265,3.801452033,1.09E-09,2.40E-09
LOC120103266,1.889704183,0.000503633,0.000816499
LOC120103267,-1.896270764,0.014510083,0.020762578
LOC120103272,1.70961485,7.44E-06,1.37E-05
LOC120103274,0.773587702,2.96E-05,5.24E-05
LOC120103280,1.773356456,0.001488098,0.002329307
LOC120103281,0.472156904,0.040963027,0.055724937
LOC120103283,1.966794123,7.65E-06,1.40E-05
LOC120103284,1.479832692,0.000170421,0.000286024
LOC120103285,1.884082076,0.001197281,0.001887173
LOC120103287,-1.061845847,0.00425412,0.006404127
LOC120103288,6.116309304,6.12E-33,2.65E-32
LOC120103326,-2.631978598,8.18E-09,1.73E-08
LOC120103344,-1.999791733,0.001945587,0.003015889
LOC120103359,-0.927007002,0.000158042,0.000265775
LOC120103360,1.820279201,5.20E-08,1.06E-07
LOC120103369,-2.18935181,0.003548063,0.005383419
LOC120103380,-2.910664449,1.38E-12,3.40E-12
LOC120103381,-0.710810056,0.028381841,0.039355443
LOC120103415,-1.312075931,0.01512323,0.021602319
LOC120103424,-0.804402993,9.06E-18,2.66E-17
LOC120103427,-8.236381448,3.93E-121,7.24E-120
LOC120103435,3.964224715,5.29E-15,1.42E-14
LOC120103436,3.697060076,3.11E-13,7.87E-13
LOC120103438,5.985640129,8.76E-41,4.52E-40
LOC120103440,7.248047729,1.04E-40,5.34E-40
LOC120103441,6.826811804,1.41E-34,6.34E-34
LOC120103442,5.851120711,1.09E-21,3.53E-21
LOC120103443,4.309108028,2.56E-05,4.55E-05
LOC120103444,2.928599631,0.001107264,0.001750791
LOC120103445,7.010309697,3.90E-35,1.78E-34
LOC120103446,4.324803452,1.18E-17,3.45E-17
LOC120103448,6.531051126,1.58E-33,6.95E-33
LOC120103449,5.095880281,3.54E-29,1.40E-28
LOC120103453,-1.036710325,0.013726821,0.019668439
LOC120103455,-3.926771091,5.73E-27,2.14E-26
LOC120103456,1.913393188,1.35E-08,2.84E-08
LOC120103457,7.105315529,2.62E-91,3.22E-90
LOC120103460,2.182154763,2.64E-05,4.68E-05
LOC120103462,-0.850621844,0.015823269,0.022557614
LOC120103463,-1.024563815,0.029347426,0.040612511
LOC120103464,-1.641011617,3.11E-05,5.49E-05
LOC120103466,0.867324596,0.010519154,0.015227964
LOC120103467,1.082768777,0.000428029,0.00069806
LOC120103468,0.538753013,9.39E-08,1.90E-07
LOC120103470,1.849546662,0.02434,0.034010701
